Fecha,Almacenamiento utilizado en Gmail,Almacenamiento utilizado en Drive,Almacenamiento utilizado en Fotos,Almacenamiento utilizado por las unidades compartidas
27 sept 2021 00:00:00 GMT-7,30354492,118425818,16440813,0
28 sept 2021 00:00:00 GMT-7,22055299,109032159,11768195,0
29 sept 2021 00:00:00 GMT-7,22090924,109556227,11797493,0
30 sept 2021 00:00:00 GMT-7,22143373,110321674,11878866,0
1 oct 2021 00:00:00 GMT-7,22122802,111201097,11939954,0
2 oct 2021 00:00:00 GMT-7,22111469,111445220,12027931,0
3 oct 2021 00:00:00 GMT-7,22101772,111028413,12067936,0
4 oct 2021 00:00:00 GMT-7,22137141,111117725,12093298,0
5 oct 2021 00:00:00 GMT-7,22158227,111383745,12093494,0
6 oct 2021 00:00:00 GMT-7,22157315,111268536,12093515,0
7 oct 2021 00:00:00 GMT-7,22146579,111366697,12093843,0
8 oct 2021 00:00:00 GMT-7,22161758,111648030,12093830,0
9 oct 2021 00:00:00 GMT-7,22155609,111719602,12093831,0
10 oct 2021 00:00:00 GMT-7,22156495,111698416,12093823,0
11 oct 2021 00:00:00 GMT-7,22161458,111826725,12093823,0
12 oct 2021 00:00:00 GMT-7,22183640,111971485,12093823,0
13 oct 2021 00:00:00 GMT-7,22072432,112213826,12052945,0
14 oct 2021 00:00:00 GMT-7,22090060,112438188,12052755,0
15 oct 2021 00:00:00 GMT-7,22112950,112673614,12052760,0
16 oct 2021 00:00:00 GMT-7,22117000,112725149,12052812,0
17 oct 2021 00:00:00 GMT-7,22119931,112733620,12052812,0
18 oct 2021 00:00:00 GMT-7,22139433,112921336,12052812,0
19 oct 2021 00:00:00 GMT-7,22163711,113215363,12052812,0
20 oct 2021 00:00:00 GMT-7,22188710,113572369,12052812,0
21 oct 2021 00:00:00 GMT-7,22208607,113987029,12052812,0
22 oct 2021 00:00:00 GMT-7,22232646,114611208,12052812,0
23 oct 2021 00:00:00 GMT-7,22242178,114846368,12052812,0
24 oct 2021 00:00:00 GMT-7,22242013,114910195,12052812,0
25 oct 2021 00:00:00 GMT-7,22268440,115231295,12052812,0
26 oct 2021 00:00:00 GMT-7,22286024,115570792,12052812,0
27 oct 2021 00:00:00 GMT-7,22301844,115932622,12052812,0
28 oct 2021 00:00:00 GMT-7,22326046,116359590,12052812,0
29 oct 2021 00:00:00 GMT-7,22531543,116959056,12052812,0
30 oct 2021 00:00:00 GMT-7,22761648,117247648,12052812,0
31 oct 2021 00:00:00 GMT-7,22763887,117294596,12052812,0
1 nov 2021 00:00:00 GMT-7,22771586,117449111,12052812,0
2 nov 2021 00:00:00 GMT-7,22795054,117736478,12052820,0
3 nov 2021 00:00:00 GMT-7,22817305,118049687,12052820,0
4 nov 2021 00:00:00 GMT-7,22845554,118518048,12052820,0
5 nov 2021 00:00:00 GMT-7,22874851,119193798,12052820,0
6 nov 2021 00:00:00 GMT-7,22881774,119528498,12052820,0
7 nov 2021 00:00:00 GMT-7,22886467,119607857,12052820,0
8 nov 2021 00:00:00 GMT-8,22912581,119967319,12052820,0
9 nov 2021 00:00:00 GMT-8,22933100,120363229,12052820,0
10 nov 2021 00:00:00 GMT-8,22953877,120793241,12052820,0
11 nov 2021 00:00:00 GMT-8,22976256,121267114,12052820,0
12 nov 2021 00:00:00 GMT-8,23002986,121761446,12052820,0
13 nov 2021 00:00:00 GMT-8,23021770,122067379,12052820,0
14 nov 2021 00:00:00 GMT-8,23026589,122190901,12052820,0
15 nov 2021 00:00:00 GMT-8,23032552,122392244,12052820,0
16 nov 2021 00:00:00 GMT-8,23052787,122674527,12052820,0
17 nov 2021 00:00:00 GMT-8,23064436,122940636,12052820,0
18 nov 2021 00:00:00 GMT-8,23083531,123238448,12052820,0
19 nov 2021 00:00:00 GMT-8,23099761,123523230,12052820,0
20 nov 2021 00:00:00 GMT-8,23105123,123642399,12052820,0
21 nov 2021 00:00:00 GMT-8,23107109,123676149,12052820,0
22 nov 2021 00:00:00 GMT-8,23120047,123879781,12052820,0
23 nov 2021 00:00:00 GMT-8,23158466,124141373,12052820,0
